Title,Ingredients,Loves,kategori
Bakso Balungan,Balungan sapi/kambing--bumbu halus--4 siung bawang putih--penyedap--1 batang sereh geprek--1 sdm Royco Bubuk sapi--1 sdm garam--Daun bawang preh--Seledri--Bawang goreng--,3,kambing
Nasi Goreng Sate sapi #KitaBerbagi,2 centong munjung nasi putih--1 buah telor (orak arik dan tiriskan)--3 tusuk sate kambing/sapi (potong kecil2)--secukupnya minyak--secukupnya kaldu jamur--secukupnya kecap manis--bumbu halus:--7 siung bawang merah ukuran kecil--3 siung bawang putih--2 buah cabe merah--6 buah cabe rawit--secukupnya merica--secukupnya terasi--,2,kambing
Krengsengan Daging Ala Ala 😁,"250 gr daging sapi / kambing--500 ml air--Bumbu Halus:--4 siung bawang merah--3 siung bawang putih--1 biji cabe besar merah--15 biji cabe rawit--3 lembar daun jeruk purut--1/4 sdt lada hitam--1/4 sdt ketumbar--Bumbu lainnya:--1 batang sereh geprek--Seruas jari lengkuas geprek--Seruas jari jahe geprek--Kecap manis (karna ga punya petis, kecapnya agak saya banyakin)--1 sdt saos tiram--Secukupnya Gula dan Garam--",5,kambing
Sapi oseng asam manis,"250 gr daging sapi (bisa kambing) potong kecil kecil, cuci, tiriskan--1 lbr daun salam--1 ruas ibu jari lengkuas, memarkan--1 ujung sdt merica bubuk (bisa di tambah kalo ingin lebih pedas)--1/2 sdt garam (seseuai selera)--1/2 sdt gula pasir--1 sdm kecap manis--2 buah tomat (ganti saus tomat lebih gampang)--100 grm nanas (boleh di skip, ini biar lebih cepat empuk aja dagingnya) potong kecil kecil--1 sdm saus pedas (sesuai selera)--2 sdm minyak goreng--1 siung bawang putih cincang halus--3 siung bawang merah iris tipis (bawang bombay lebih enak)--",28,kambing
Sate maranggi,1/4 daging kambing--5 sdm air asam--bumbu halus:--5 siung bawang merah--3 siung bawang putih--1 sdm ketumbar yg telah dihaluskan--1 sdt lada halus--1 sdt gula jawa--1 ruas jari jahe--3 sdm kecap manis--sambal kecap :--7 buah cabe rawit--1/2 buah tomat--4 siung bawang merah iris--perasan 1 bagian buah jeruk purut--kecap manis--,4,kambing
Sop iga sapi,Beberapa potong iga sapi atau kambing--secukupnya Air--6 buah wortel potong bulat--3 buah tomat potong dadu--3 batang daun bawang--5 batang seledri--Bumbu halus:--8 siung bawang putih--6 siung bawang merah--secukupnya Merica--1 sdt garam--Bumbu lain:--5 buah cengkeh--8 buah kapulaga--3 potong kecil kayu manis--1 buah pala geprek--5 cm jahe geprek--5 lembar daun salam--5 lembar daun jeruk--secukupnya Garam--secukupnya Gula--secukupnya Penyedap--Buat taburan:--Bawang goreng--Minyak untuk menumis--,3,kambing
Sop Tunjang Rang Awak #KitaBerbagi👍😋,"Tulang sapi / tulang kambing dicampur (gk nimbang beratnya)--8 siung bawang merah--3 siung bawang putih--5 cm jahe, dipotong 2 bagian--3 cm lengkuas--secukupnya Daun bawang dan Daun seledri--1 sdt merica--Secukupnya Bunga Lawang, pala, kayu manis, bumbu sop lainnya--2 bungkus royco rasa sapi--secukupnya Garam--",5,kambing
Tongseng Pacitan,1 1/5 kg daging kambing / sapi potong dadu--15 siung bawang merah--10 siung bawang putih--10-15 biji cabe setan--5 biji tomat ukuran sedang--3 bungkus merica bubuk--10 cm laos--secukupnya garam--1 biji gula jawa--secukupnya kecap--secukupnya air--,2,kambing
Daging Masak Kecap,"250 gram daging kambing atau iga sapi--3 siung bawang putih, iris halus--10 sdm kecap manis--4 sdm minyak goreng--1 sdt garam--1 sdm gula pasir--500 gram air--1 buah jeruk nipis--",41,kambing
Rendang ala emak #kitaberbagi,1 kg daging sapi/kambing--1200 ml santan dari 1 butir kelapa--1 lirang gula jawa--4 lbr daun salam--1 1/2 sdm garam (sesuaikan selera saja ya)--2 ruas besar lengkuas/laos--4 batang serai--Bumbu halus:--20 biji cabai merah--10 siung bawang putih--12 siung bawang merah--1 ruas jempol jahe--5 ruas kunyit (kata emak kalo bisa mah daun kunyitnya aja)--1 sdm ketumbar--4 butir kemiri--Secukupnya daun jeruk (kemarin gak ada jadi diskip)--,1,kambing
Nasi Kebuli Mejikom #kitaberbagi,"4 gelas takar mejikom beras, cuci bersih--1/2 kg daging sapi (bisa ganti kambing/ayam) resep asli 1/4kg--4 siung bawang putih--6 bh bawang merah--2 ruas kunyit (mimi 1sdt peres kunyit bubuk)--1/2 sdt lada bubuk--1 sdt ketumbar bubuk--1 batang kayu manis 5cm--3 sdm margarine (bisa pake minyak samin)--4 sdm minyak goreng--Secukupnya air (tergantung jenis berasnya)--🍚🍛 bumbu rempah : bisa ganti 4sdm bumbu kari kambing--2 bh bunga lawang (pekak)--2 bh kapulaga, ambil bijinya--5 butir cengkeh--2 sdt kayu manis bubuk--1 sachet bumbu kari instan--",241,kambing
Nasi kebuli magicom#kitaberbagi,250 gr daging kambing--1 saschet santan kara yg segitiga--1 saschet bumbu gulai instant(sy pk merk indo***d)--3 cangkir beras--700 ml air--1 sdt garam--2 lembar daun salam--1 lembar sereh--1 lembar daun jeruk--(ke 3 daun klo ga ada gpp ga pake juga udah wangi dari bumbunya)--,13,kambing
Tengkleng solo,Daging kambing beserta tulangnya--Bawang putih--Bawang merah--Tumbar--Kemiri--2 cm Kunyit ukuran--Garam--Penyedap rasa dan gula--Daun salam--Lengkuas--Jahe--Tomat.daun bawang.cabai rawit--Santan encer--Serai--,5,kambing
Masak Daging ala kadarnya#KitaBerbagi,1/2 kg daging kambing--1 ruas jari kunyit--1 ruas jari jahe--1 ruas jari laos--3 lembar daun jeruk--2 lembar daun salam--1 batang serih digeprek--1 sendok teh ketumbar--1/2 sendok teh merica bubuk--2 butir kemiri--1 liter Air--,2,kambing
Sate simpel banget #kita berbagi,500 gr daging sapi / kambing (potong dadu)--Tusuk sate--Daun pepaya untuk membungkus sate biar empuk--Bumbu rendaman:--5 siung bawang putih--1/2 sdt merica--1 sdt garam--200 ml kecap manis--1 sdm mentega / minyak sayur--Bumbu kacang :--100 gr kacang tanah (sdh d goreng)--5 siung bawang putih--2 buah cabe besar--5 siung bawang merah--200 ml kecap manis--1 sdt garam--,5,kambing
Coto Makasar,"700 gr daging (sapi /kambing)--2 liter air cucian beras yg ke 3--2 batang serei, memarkan--3 lembar daun salam--2 lembar daun jeruk--3 cm kayu manis--Bumbu halus--3 butir kemiri--1 sdm ketumbar--1/2 sdt jinten--1 sdt merica butiran--5 buah bawang merah--4 buah bawang putih--2 buah cabe merah besar buang bijinya--5 cm lengkuas muda--3 cm jahe--2 batang serei bagian putihnya--1/2 sdt pala bubuk--1 saset masako sapi--Secukupnya garam, gula pasir--Bahan lainnya--50 gr kacang tanah--1 batang daun bawang, iris halus--Sambal--Bawang goreng--Jeruk nipis--",10,kambing
#kitaberbagi,Daging sapi/kambing (potong kotak aga besar)--potong dadu Wortel--Daun salam--Daun jeruk--Sereh--Kecap manis--Bumbu halus:--Bawang merah--Bawang putih--Merica--Ketumbar--Lengkuas--Asam--Gula merah--,2,kambing
Sate padang,Utk rebusan daging:--1/2 kg daging sapi--1 batang serai--2 ruas jempol geprek--2 lembar daun salam--Air bersih utk rebusan secukpnya--2 kotak santan kara uk 65ml--Bahan tumis:--15 siung bawang merah--5 siung bawang putih--6 buah cabe rawit merah (boleh skip)--9 buah cabe kriting--1/2 buah biji pala (ditumbuk halus)--1/2 sdm ketumbar--1/2 sdt jintan hitam--2 buah bunga lawang--1 lembar daun kunyit--3 lembar daun jeruk (buang tulangnya)--1 sdt bumbu kare/bumbu kambing (boleh skip)--Bahan kuah:--Secukupnya daun bawang--2 buah asam kandis--5 sdm tepung beras--Pelengkap:--Kerupuk--Bawang goreng--Ketupat--,10,kambing
Nasi Briyani Cinta,500 gram daging kambing--3.5 cup kecil Beras lokal--Bumbu -bumbu :--2 sdt Jinten--1/2 buah Bawang bombay--4 siung Bawang putih--5 cm Jahe--1 buah Sereh--1/2 buah Tomat--1 biji Cabe merah--2 sdt Kunyit bubuk--1 sdt Kapulaga bubuk--1/2 sdt Merica bubuk--5 butir Cengkeh bubuk--Bunga Lawang 4 buah--1 sdt Ketumbar bubuk--1 buah Kayu manis--secukupnya Air--3 sdt Garam--2 sdm Mentega--,17,kambing
Sate Kuah Kacang a.k.a Sate Madura,1 kg daging sapi/kambing utuh (belum dicincang)--bumbu ungkep--4 siung bawang putih--1 ruas kecil kunyit--2 sdm ketumbar--secukupnya garam--Air kelapa--bumbu panggang--3 sachet Madu Rasa (boleh pakai madu hutan kalau punya. hehe)--5 sdm kecap manis--5 sdm saos sambal (boleh lebih kalo suka pedas)--secukupnya penyedap rasa--secukupnya garam--1 sdm bubuk bawang putih--bumbu kacang--250 gr kacang tanah--150 cc santan--2 ons gula merah--3 siung bawang putih--1 batang sereh--1 ruas lengkuas--2 lembar daun salam--4 lembar daun jeruk--secukupnya air--secukupnya Asam Jawa--secukupnya garam--secukupnya penyedap rasa--,18,kambing
Kalio Hati Bukittinggi,"1 kg hati--1 bh kelapa sedang--5 siung bawang merah--4 siung bawang putih--ketombar 1 sendok bubuk,klo sy pki ketombar yg sdh di rendang--lengkuas, jahe--1 ons cabe merah--daun limau,,daun salam,,serai,,--1/2 buah pala--5 bh cengkeh--1/2 sendok bumbu kambing.--minyak goreng--garam--",2,kambing
Sate Klathak Rumahan,500 gram daging kambing muda--Tusuk sate--Bumbu halus =--5 siung bawang putih--2 sdt garam (secukupnya)--3 sdm Minyak goreng--Bahan pelengkap =--1 lembar kobis Irisan--1 Buah tomat Irisan--1 siung bawang merah Irisan--Sesuai selera cabe rawit Irisan--1 sdt Merica bubuk--,4,kambing
Krengsengan Daging,200 gram daging kambing--7 siung bawang merah--5 siung bawang putih--3 butir kemiri--6 buah cabe--1 sdm garam--2 batang serai--3 daun salam--1 sdm mrica bubuk--1 cm jahe--1 sdm ketumbar bubuk--Minyak goreng--Kecap manis--,0,kambing
Daging teriyaki pedas,sesuai selera Daging kambing / sapi--Bumbu--5 bawang merah--4 bawang putih--8 Cabai hijau besar--5 cabai rawit hijau--1/2 bawang bombay uk sedang--1 ruas jahe--2 sachet saos teriyaki--1 sachet saos lada hitam--secukupnya Garam--secukupnya Kecap manis--secukupnya Minyak--secukupnya Air--,5,kambing
KRENGSENGAN DAGING SAPI 5 LANGKAH #KitaBerbagi,1/2 kg daging sapi/kambing--secukupnya air--sedikit penyedap rasa--Secukupnya minyak untuk menumis--1 bks kecap bango kemasan sachet--1 sdt merica (aku pake ladaku)--bumbu halus--4 siung bawang putih--6 siung bawang merah--10 cabe merah besar--5 cabe merah kecil--2 cm jahe--3 biji kemiri--,14,kambing
Oseng daging pedas manis,250 gram daging sapi/kambing--bumbu:--5 buah cabe rawit--5 buah bawang merah--3 buah bawang putih--1 buah tomat--seiris lengkuas--1 daun salam--secukupnya gula..garam...kecap dan penyedap--,3,kambing
Soto Betawi Sederhana #KitaBerbagi,"500 gr daging kambing (iga, jeroan/ daging)--1,5 liter air--Secukupnya Olive Oil--1 btg serai (memarkan)--2 lembar daun jeruk--1 lembar daun salam--Secukupnya Garam, Gula, Kaldu Jamur, Merica Halus--1 bks Santan Kara--200 ml susu cair (Plain)--Bumbu Halus :--9 siung bawang merah--3 siung bawang putih--5 buah cabai merah besar--1 cm jahe--1 cm kunyit--1 cm lengkuas--Pelengkap :--secukupnya Bawang Goreng--1 buah Acar Timun--1 batang Daun Bawang--1 buah Tomat--1 buah Jeruk Nipis--secukupnya Kecap--sesuai selera Emping--sesuai selera Sambal Cabai--",20,kambing
Sate Maranggi ala Bunda Qillaa,250 gr daging kambing (pot kecil dadu)--20 bj tusuk sate--✔bumbu ulek--3 siung bawang putih--5 siung bawang merah--secukupnya garam--3 sdm kecap manis--1 sdm ketumbar--4 bj kemiri--1 cm jahe--1 cm lengkuas--✔untuk sambel--5 siung bawang merah (iris tipis)--1 bh tomat (iris kecil2)--10 cabe rawit ijo (iris kecil2)--secukupnya kecap manis--secukupnya garam--,7,kambing
Daging Crispy #KitaBerbagi,Daging sapi / kambing buang lemaknya--Bawang Putih--secukupnya Garam--secukupnya merica bubuk--secukupnya Kaldu bubuk--Tepung Terigu--Tepung Beras--Telur--Minyak untuk menggoreng--Takaran masing-masing by feeling--,2,kambing
Sop tulangan,"1 kg tulangan sapi/kambing--4 siung bawang putih--1 ruas jahe--1/2 sendok teh mrica--sedikit pala--secukupnya garam, gula, royko rasa sapi--sedikit  kayu manis--3 buah cengkeh--2 buah bunga lawang--2 buah kapulaga--",5,kambing
Satee ala maranggi,sesuai selera Daging kambing--Bumbu2 halus*--7-8 siung Bawang merah--5 siung Bawang putih--1 sdt Ketumbar--secukupnya Garam--1 sdt Merica--sesuai selera Air asam jawa--secukupnya Gula merah--secukupnya Kecap manis--1 lembar Daun pepaya--1 potong Nanas--,4,kambing
Tongseng Bentuk Sop #KitaBerbagi,"bahan--500 gram daging kambing--3 buah wortel besar (potong bulat)--1/8 buah kol (sobek kasar)--1 buah labu siam (potong kotak besar)--2 batang seledri (potong kasar)--2 batang daum bawang (potong kasar)--bumbu halus--6 siung bawang merah besar--5 siung bawang putih besar--4 buah cabe merah--3 buah cabe rawit--6 butir kemiri--1/2 sdt mrica butiran--sejimpit jintan--sejimpit ketumbar--1,5 cm kunyit--4 sdm minyak utk menumis--bumbu lainnya--3 lembar daun jeruk--2 cm jahe geprek--2 cm lengkuas geprek--2 batang serai geprek--4 sdm kecap manis--secukupnya  gula, garam, kaldu instan (optional)--",2,kambing
Gule bening Non santan #kitaberbagi,1/2 kg daging kambing /tetelan--Bumbu halus--10 siung bawang merah--8 siung bawang putih--1/2 sdt lada bubuk--Kapulaga--1 biji pala (saya separuh)--4 biji cabe merah--1 sdt ketumbar--Sejumput jinten--1 ruas jari kunyit--1/2 ruas jari jahe--Penyedap rasa/gulgar--Pelengkap--3 butir bunga cengkeh--Sebatang kayu manis--3 tangkai Daun bawang pre (iris kasaer--5 lbr daun jeruk--,9,kambing
Tongseng Daging Campur #KitaBerbagi,200 gr daging sapi--200 gr daging kambing--1 mangkuk kol yang sudah diiris--1 buah tomat--5 buah cabe merah--2 batang daun bawang--2 lembar daun salam--1 batang serai--1/2 buah gula merah--4 sdm kecap manis--Garam--Gula pasir--Kaldu jamur--Bumbu halus (saya blender):--6 siung bawang merah--4 siung bawang putih--2 ruas jahe--2 ruas lengkuas--3 lembar daun jeruk--,3,kambing
Marak/ sop arab,"1/2 kg daging kambing--1/2 buah nanas,jus/parut--1 1/2 batang bawang pre,potong 1cm--2 buah tomat,iris jadi 4--1 sdm bumbu gule/kari--2 bungkus kaldu(buatan sendiri)--2 tangkai seledri(aq gak pakai)--5 buah kapulaga--2 buah wortel,iris sesuai selera(aq lupa beli😀)--1 buah kentang,iris sesuai selera--1 buah bawang bombay,iris tipis--Bumbu halus:--5 siung bawang putih--2 buah kemiri--2 ruas kunir--Pelengkap:--Bawang goreng--",36,kambing
Pindang tulang pedas,"1/5 kg tulang dan rusuk kambing--1/4 kg jerohan kambing(dikasi gajih dikit ya)--Bumbu iris:--1 genggam lengkuas--2 ruas jahe--4 ruas kunyit--1 genggam cabai kecil,--5 buah cabai keriting--2 buah tomat--1 sdt merica bubuk--sedikit Penyedap rasa--secukupnya  Garam--Sejumput Bawang goreng--",0,kambing
Dendeng Ragi ebi #kitaberbagi,"1/2 kg Daging kambing--(Iris, sayat2, kemdian presto atau rebus hgga empuk kmdn geprek)--1/2 butir kelapa (parut)--3 sdm ebi (cuci bersih)--Bumbu halus--10 siung bawang merah--8 siung bawang putih--3 biji cabe merah--1 sdt ketumbar--Sejumput jinten--1/2 sdt lada bubuk--4 Daun jeruk (carik2)--Gulgar/penyedap rasa--",5,kambing
Daging masak barbeque#Kitaberbagi,250 gram daging kambing/sapi--3 lembar daun salam--3 lembar daun jeruk--1 ruas lengkuas--1 ruas jahe--1 sereh geprek--sejumput garam--1 buah bawang bombay iris tipis--13 cabe merah potong panjang--2 sdm saos barbeque--4 sdm kecap manis--2 sdm kecap asin--2 sdm saos cabe--1/2 sdt kaldu bubuk--1/4 sdt lada bubuk--3 siung bawang merah iris tipis--10 lembar daun jeruk iris panjang--1 batang daun bawang iris tipis--4 sdm air--,7,kambing
Daging Kuah Pedas Manis #MariBerbagi,1/2 kg daging (sapi/kambing)--2 tahu putih--3 siung Bawang merah--3 siung bawang putih--1 siung bawang bombay sedang--9 biji cabe kriting--Trasi--Gula batok/kelapa--Garam--Lada bubuk--Kecap--Minyak Goreng--,3,kambing
Tongseng nampol#kitaberbagi,300 gr daging kambing--2 ruas jari lengkuas geprak--1 batang sereh ambil putihnya lalu digeprak--3 lembar daun jeruk--1 buah tomat ukuran besar potong dadu--2 batang bawang prai di rajang--1/2 buah bawang bombay--20 cabe rawit belah ujung--Bumbu halus:--5 siung bawang merah--4 siung bawang putih--10 buah cabe merah keriting--2 buah kemiri sangrai--1 ruas kunyit sangrai--1 ruas jahe sangrai--1 sdt merica--1 sdm ketumbar halus--1 bungkus santan kara--2 sdm kecap--,3,kambing
Dendeng Ragi khas banyuwangi#KitaBerbagi,1/4 kg Daging sapi/kambing--1/4 kg kelapa parut--3 sendok makan kanji--50 ml Air--1 ruas jahe--1 bungkul kecil bawang putih--1 ruas kunyit--Secukupnya ketumbar--Secukupnya garam--Sesuai selera cabai/merica bubuk--Secukupnya gula merah--2 lembar daun jeruk purut--,8,kambing
Lapis daging bumbu kecap #kitaberbagi,"250 gr daging sapi/kambing, potong-potong--3 lembar daun salam--2 lembar daun jeruk--5 cm laos geprek--2 sdm kecap manis--☀bumbu halus--3 siung bawang putih--3 siung bawang merah--5 bh kemiri sangrai--1/4 sdt pala bubuk--1/2 sdt merica--secukupnya Gula, garam, dan kaldu bubuk--",13,kambing
Sambal Goreng daging Kecap ala Dapur Fitri #Kitaberbagi,"1/2 kg Daging Kambing muda--1/2 butir Bawang bombay, iris--7 siung Bawang putih, iris--7 butir Bawang merah, iris--1 sdt Bumbu masakan padang--1 sachet Kaldu--3 sdm Kecap manis--1/2 sdt Lada putih bubuk--2 sdm Air jeruk nipis--5 sdm Minyak goreng--2 sdm Margarine--",5,kambing
Sate bakar,Daging kambing--Nanas--Tusuk sate--Kecap--Bawang merah--Tomat--Cabe rawit--,2,kambing
Daging qurban bumbu pedas #kitaberbagi,500 gr Daging qurban (saya jeroan sapi & daging kambing)--5 siung bawang putih--3 siung bawang merah--sesuai selera Cabai rawit merah--1 ruas jahe--2 ruas kunyit--1 buah tomat--1/2 sdt merica--1 sdm ketumbar--secukupnya Garam dan gula merah--Secukupnya Kecap manis--5 lembar daun salam--secukupnya Minyak untuk menumis--secukupnya Air panas--,8,kambing
Nasi Kebuli Rumahan #KitaBerbagi,1 kg beras cuci dan tiriskan--1/4 kg iga kambing--bumbu halus unuk nasi:--10 siung bawang merah--5 siung bawang putih--1 ibu jari jahe--2 sdm garam masala--1 sdm bubuk kari--1 sdm margarin untuk menumis--secukupnya air kaldu kambing--Bahan utuhan:--7 buah cengkeh--5 buah kapulaga--2 buah bunga pekak--1 batang kayu manis--Bahan pelengkap:--Acar timun--Emping goreng--Bawang goreng--,16,kambing
Nasi Kebuli #kitaberbagi,"1 kg beras (me : basmati) cuci bersih, rendam 1jam--700 gr daging kambing (me : 1kg) potong dadu--1 bh bawang bombay besar, iris halus--1 ltr Santan/Susu cair (me : diamond milk full cream)--300 ml air--50 ml minyak goreng untuk menumis--Bahan Rempah :--5 batang serai, memarkan--6 lbr daun jeruk--5 lbr daun salam--2 batang kayu manis--8 biji cengkih--8 biji kapulaga--6 biji bunga lawang--1 sdm bubuk kari--1 sdt bubuk jintan (me : 1 sdt jintan butiran dihaluskan)--1 sdt bubuk ketumbar (me : 1.5 sdt ketumbar butiran dihaluskan)--1 sdt bubuk pala (me : 1 bh pala dibelah 4)--1/2 sdt bubuk lada--Bumbu Halus :--12 siung bawang putih--15 butir bawang merah--6 cm jahe--Bumbu Pelengkap :--Secukupnya garam--Secukupnya penyedap rasa (skip)--1 sdm kaldu sapi bubuk (skip)--Tambahan dari saya :--100 gr kismis (rendam air hangat)--5 sdm kefir / yogurt / saus tomat botolan--Bahan Acar :--2 buah timun (buang bagian tengahnya) potong dadu--1 buah wortel, potong dadu--1 buah nanas (kalau besar pakai 1/2 aja)--2 buah cabai merah, potong serong--3 butir bawang merah, potong dadu--5 sdm saus tomat--2 sdm saus sambal--1 sdm palm sugar atau gula putih--Secukupnya Bubuk cabai--Sesuai selera Cuka masak--",16,kambing
Soto Betawi #KitaBerbagi,"500 gr daging kambing + tulang iga muda--300 ml susu tawar cair--1 lt air--5 cm kayu manis--bumbu--3 siung bawang putih--5 siung bawang merah--1/4 butir pala--1/2 sdt merica--1 sdt ketumbar--2 sdm kemiri--1 buah bunga lawang--2 cm kayu manis--3 buah cengkih--3 butir kapulaga--2 lbr daun salam--3 lembar daun jeruk purut--2 cm laos--2 cm jahe--1 btg serai--5 sdm minyak untuk menumis--secukupnya gula, garam, kaldu jamur--pelengkap--acar mentimun--emping goreng(saya skip)--kentang goreng (saya skip)--tomat--bawang goreng--daun bawang--sambal (cabai di rebus kemudian haluskan dengan sejumput garam)--jeruk nipis--",16,kambing
#KitaBerbagi (empal gentong Cirebon),"500 gr daging kambing, rebus sampai empuk--Bumbu--1 ibu jari lengkuas--1 ibu jari jahe--1 ibu jari kunyit--1 sdm ketumbar--7 btr bawang merah--3 siung bawang putih--5 btr kemiri--3 lembar Daun salam--1 batang Sereh geprek--1 Bks bumbu empal--1 ikat Daun kucai untuk taburan--secukupnya Bawang goreng untuk taburan--sesuai selera Gula--secukupnya Garam--500 ml Santan kental--",8,kambing
Sate Goreng #kitaberbagi,"1,5 kg daging sapi & kambing--1 buah jeruk nipis ukuran besar, ambil airnya--1 buah bawang bombay, iris--secukupnya Daun selada--secukupnya Lada hitam--🍥 Bumbu rendaman :--9 siung bawang merah, uleg dg sedikit garam--20 ml kecap bango--5 gr lada putih bubuk (2 sachet)--5 gr ketumbar bubuk (1 sachet)--5 sdm minyak goreng--secukupnya Kaldu jamur--🍰 Sambal Kecap :--20 buah cabe rawit hijau, iaris--10 siung bawang merah, iris--2 buah tomat merah, potong dadu--1 sdt lada bubuk--1 sachet kecil kecap Lele--secukupnya Kaldu jamur--",13,kambing
Sate Campur Dadakan Super Simpel #KitaBerbagi,300 gr daging sapi+kambing (kira2 segituan lah yaak)--5 siung bawang putih--2 siung bawang merah--1/2 sdt merica--4 sdm kecap manis(kebetulan yg ada kecap sedap)--Secukupnya air--,2,kambing
Sate Embek Madu Tj Joybee by: Erni Hartanti.Amd😄😍😘,"Secukupnya Daging Embek(Kambing)potong kotak sesuai selera--9 tusuk sate--Bumbu;--1 bks Larasa Sasa bumbu ungkep Ayam goreng Kuning--2 sdm Kecap Manis sedaap--1 sdm Madu Tj Joybee--Olesan;--1,5 sdm Blueband--",0,kambing
Sate barokah saus kacang,250 gram daging kambing--100 gram kacang tanah(goreng)--secukupnya bawang putih--secukupnya bawang merah--1 butir Kemiri goreng--sesuai selera Cabe keriting--secukupnya Gula&garam merah--secukupnya Minyak--Jeruk limo--Kecap--,2,kambing
Sate Maranggi Simple #KitaBerbagi,250 gram daging sapi/kambing--2 bulat gula merah--2 cm kunyit--4 cm jahe--1 sdm ketumbar--2 sdm air asam jawa--secukupnya garam & penyedap--,6,kambing
Daging goreng asam manis simple #KitaBerbagi,1 kg daging kambing--Bumbu halus :--3 siung bawang putih--1 buah tomat--5 buah cabai rawit merah--Pelengkap lain :--secukupnya Saos sambal--secukupnya Kecap--sesuai selera Gula putih--secukupnya Garam--3 lembar Salam dan sereh--,5,kambing
Rendang simpel#kitaberbagi,"500 gr danging,kambing/sapi--100-200 ml santan kental dr 1/2-1 btr kelapa--bumbu halus:👇--6 siung bawang merah--4 siung bawang putih--2 btr kemiri--8 bh cabe merah keriting--2 bh cabe merah besar--2 bh cabe rawit merah--2 1/2 cm jahe--1/4 ruas ibu jari pala--3 1/2 cm lengkuas,geprek--2 lbr daun salam--5 cm kayu manis--secukupnya garam--secukupnya kecap manis--secukupnya gula pasir--",63,kambing
Nasi Kebuli #KitaBerbagi,"1 liter beras cuci bersih--750 gr daging kambing potong sesuai selera--100 ml minyak samin atau mentega cair--Secukupnya air--Bumbu Halus :--10 butir bawang merah--7 siung bawang putih--1,5 sdt lada bubuk--3 sdt ketumbar bubuk--1 sdt jintan bubuk--Bumbu Lain :--1 butir kecil bawang bombay cincang--1/2 butir pala memarkan--5 cm kayu manis--3 biji pekak--1 sdt cengkih--7 butir kapulaga memarkan--1 batang serai memarkan--secukupnya garam dan gula--Pelengkap :--Bawang goreng--Cabe merah goreng--Acar nenas--Kerupuk udang--",6,kambing
Sate Goreng Pedas #kitaberbagi,500 gr Daging kambing  campur sedikit lemak--10 buah Cabe rawit merah--5 buah Cabe rawit hijau--2 buah Tomat--5 buah Bawang merah--Tusuk sate--3 sdm Kecap manis (campuran daging ketika dgoreng)--Secukupnya Kecap manis untuk sambal kecap--5 sdm minyak goreng--,1,kambing
Tongseng qurban,500 g daging sapi/ kambing--1 btg Serai--3 sdok makan Kecap--1/2 sndok teh Merica--Secukupnya Garam--secukupnya Penyedap--1 sendok makan Gula--1 butir Kelapa  peras sampai kurang lebih 1200ml. Liter--Bumbu halus:--5 butir kemiri sangrai--1/2 sndok teh Ketmbar kira  sangrai juga.--4 cm Kunyit krg lbih. bakar (biar rasanya lbih dapat)--3 cm Jahe--5 biji Bawang putih--5 butir Bawang meqrh  q pake yang bawang jawa--3 biji Cabe merah  biar warna nya menarik--,3,kambing
Sate Rasa Original #KitaBerbagi 🍢🍡,500 gram daging kambing segar--3 sdm margarin--sambel kecap--40 tusuk sate--,4,kambing
Rendang Endess #kitaberbagi,1/2 kg Daging (sapi/kambing) (rebus dulu kurleb 30mnt)--1 santen kara--3 ruas jari kunyit--2 ruas jari jahe--1 ruas jari Lengkuas--5 bawang merah--3 bawang putih--1 sdt garam--1/2 sdm gula pasir--10 cabe keriting merah--1 sachet bumbu rendang instan--3 helai daun salam--,2,kambing
Tongseng Kuah,"1/4 Kg daging kambing segar, dipotong dadu--150 ml Santan--100 ml Air--1 ruas Laos--3 lembar Daun salam--1 batang Sereh--5 buah Cabe rawit  potong bulat--Bumbu halus:--5 siung Bawang merah--5 siung Bawang putih--1 ruas jari Kunyit--1 ruas jari Jahe--secukupnya Ketumbar--secukupnya Lada--secukupnya Kemiri--",2,kambing
Empal Daging Spesial #kitaberbagi,250 gram daging sapi (bisa juga diganti kambing)--3 siung bawang merah--3 siung bawang putih--1 sendok makan ketumbar--1 ruas kunyit--2 ruas jahe--4 butir kemiri--3 lembar Daun salam--Secukupnya Garam--Secukupnya Gula merah--sedikit Penyedap rasa--secukupnya Air--,29,kambing
Nasi Goreng Daging Se'i (Daging Asap khas Kupang NTT) 😋😋,"1,5 cup Nasi  masak lalu dinginkan--1 potong Daging Se'i  bagian (Atau daging kambing juga bisa)--1 butir Telur--1 buah Cabe Merah besar--2 siung Bawang merah  bawang putih 1 siung--2 sdm Blue band--2 buah Cabe rawit--1 buah Tomat--Secukupnya garam, merica, lada hitam, dan ketumbar--",0,kambing
#kitaberbagi steak mudah,1 kg daging kambing--1 ruas jahe (memarkan)--2 sereh--5 lbr daun jeruk--1 lbr daun salam--8 siung bawang merah--3 siung bawang putih--5 cabe merah--1 bh tomat--1/2 botol kecil kecap manis--2 saset saos sambal--secukupnya garam--1 sdt gula pasir--3 sdt tepung maizena--air--wortel potong sesuai selera--buncis potong sesuai selera--kentang potong sesuai selera--,6,kambing
